id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
1,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Estator,estator,Nacional,,,0,
2,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Sem fim,sem_fim,Nacional,,,0,
3,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Engrenagem,engrenagem,Nacional,,,0,
4,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Capacitor,capacitor,Nacional,,,0,
5,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Placa,placa,Nacional,,,0,
6,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Base,base,Nacional,,,0,
7,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Tampa,tampa,Nacional,,,0,
8,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Manual,manual,Nacional,,,0,
9,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Cilindro e chave,cilindro_e_chave,Nacional,,,0,
10,1,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,True,0,,,2001161,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
2,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Estator,estator,Nacional,,,0,
3,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Sem fim,sem_fim,Nacional,,,0,
4,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Furo,furo,Nacional,,,0,
5,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
6,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Placa,placa,Nacional,,,0,
7,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Jumper,jumper,Nacional,,,0,
8,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Manual,manual,Nacional,,,0,
9,2,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
3,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Estator,estator,Nacional,,,0,
4,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Sem fim,sem_fim,Nacional,,,0,
5,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Calço,calco,Nacional,,,0,
